# Region type :     patch water_to_solid
# Faces             : 70
# Area              : 1.023529411764e-04
# Scale factor      : 1.000000000000e+00
# Time              	areaAverage(reactingEulerHtcModel(T.liquid))
0.1                 	-1.772500290760e+02
0.2                 	-1.903937446342e+02
0.3                 	-1.789849279397e+02
0.4                 	-1.733097797476e+02
0.5                 	-1.685728171102e+02
0.6                 	-1.645366217966e+02
0.7                 	-1.754021407761e+02
0.8                 	-1.875430885551e+02
0.9                 	-1.615662733907e+02
1                   	-1.889284181927e+02
1.1                 	-1.650742794826e+02
1.2                 	-1.623419959088e+02
1.3                 	-1.741230056393e+02
1.4                 	-1.908525909908e+02
1.5                 	-1.891890591591e+02
1.6                 	-1.727886307369e+02
1.7                 	-1.573112535106e+02
1.8                 	-1.788459127580e+02
1.9                 	-1.492901807134e+02
2                   	-1.671614810078e+02
2.1                 	-1.872196246391e+02
2.2                 	-1.720573189935e+02
2.3                 	-1.507426585096e+02
2.4                 	-1.648729651271e+02
2.5                 	-1.419996785028e+02
2.6                 	-1.746275242930e+02
2.7                 	-2.085054466148e+02
2.8                 	-1.443579681148e+02
2.9                 	-1.743328722452e+02
3                   	-1.795207526295e+02
3.1                 	-1.316067452634e+02
3.2                 	-1.925852722343e+02
3.3                 	-1.584763796628e+02
3.4                 	-1.769561107904e+02
3.5                 	-1.801386698505e+02
3.6                 	-1.651585754863e+02
3.7                 	-1.627530467887e+02
3.8                 	-1.591062185946e+02
3.9                 	-1.396916559235e+02
4                   	-1.769158062150e+02
4.1                 	-1.691708154262e+02
4.2                 	-1.675541210987e+02
4.3                 	-1.604111565684e+02
4.4                 	-1.730193217380e+02
4.5                 	-1.590313440275e+02
4.6                 	-1.553163899381e+02
4.7                 	-1.970532728156e+02
4.8                 	-2.018401689651e+02
4.9                 	-1.647387873008e+02
5                   	-2.069073799880e+02
